Id,Bound
2000,1
2001,1
2002,0
2003,1
2004,1
2005,0
2006,0
2007,1
2008,0
2009,1
2010,1
2011,1
2012,1
2013,0
2014,1
2015,0
2016,0
2017,1
2018,0
2019,1
2020,0
2021,1
2022,1
2023,0
2024,1
2025,1
2026,0
2027,1
2028,0
2029,1
2030,1
2031,1
2032,1
2033,1
2034,0
2035,0
2036,1
2037,1
2038,1
2039,0
2040,1
2041,1
2042,1
2043,0
2044,0
2045,1
2046,0
2047,0
2048,0
2049,0
2050,1
2051,0
2052,1
2053,1
2054,1
2055,1
2056,1
2057,0
2058,1
2059,0
2060,1
2061,0
2062,0
2063,1
2064,1
2065,0
2066,0
2067,1
2068,0
2069,0
2070,1
2071,1
2072,1
2073,1
2074,0
2075,1
2076,1
2077,1
2078,1
2079,1
2080,0
2081,1
2082,0
2083,0
2084,1
2085,1
2086,0
2087,1
2088,0
2089,0
2090,0
2091,1
2092,1
2093,1
2094,1
2095,0
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,0
2107,1
2108,0
2109,0
2110,0
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,0
2119,1
2120,0
2121,1
2122,0
2123,0
2124,0
2125,0
2126,1
2127,1
2128,0
2129,0
2130,1
2131,0
2132,1
2133,1
2134,1
2135,0
2136,0
2137,0
2138,0
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,0
2146,1
2147,1
2148,1
2149,0
2150,0
2151,0
2152,1
2153,0
2154,0
2155,0
2156,0
2157,1
2158,1
2159,0
2160,0
2161,1
2162,0
2163,1
2164,0
2165,1
2166,0
2167,0
2168,1
2169,1
2170,0
2171,0
2172,0
2173,1
2174,0
2175,1
2176,0
2177,1
2178,1
2179,0
2180,0
2181,1
2182,1
2183,0
2184,1
2185,1
2186,0
2187,0
2188,1
2189,1
2190,0
2191,1
2192,1
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,1
2200,1
2201,1
2202,1
2203,0
2204,0
2205,1
2206,0
2207,0
2208,0
2209,1
2210,0
2211,0
2212,1
2213,0
2214,1
2215,0
2216,0
2217,1
2218,1
2219,0
2220,0
2221,0
2222,1
2223,1
2224,1
2225,0
2226,1
2227,1
2228,0
2229,1
2230,0
2231,0
2232,1
2233,1
2234,0
2235,1
2236,1
2237,0
2238,0
2239,1
2240,0
2241,1
2242,0
2243,0
2244,1
2245,0
2246,0
2247,0
2248,1
2249,0
2250,1
2251,0
2252,1
2253,0
2254,0
2255,1
2256,1
2257,1
2258,0
2259,1
2260,1
2261,1
2262,1
2263,0
2264,1
2265,0
2266,0
2267,1
2268,1
2269,0
2270,1
2271,0
2272,1
2273,1
2274,1
2275,0
2276,1
2277,0
2278,0
2279,1
2280,0
2281,0
2282,0
2283,1
2284,1
2285,1
2286,1
2287,1
2288,0
2289,1
2290,0
2291,0
2292,0
2293,1
2294,0
2295,0
2296,1
2297,0
2298,1
2299,0
2300,1
2301,0
2302,1
2303,1
2304,0
2305,1
2306,0
2307,1
2308,1
2309,0
2310,0
2311,0
2312,1
2313,0
2314,0
2315,0
2316,1
2317,1
2318,0
2319,1
2320,0
2321,0
2322,0
2323,1
2324,0
2325,0
2326,1
2327,1
2328,1
2329,0
2330,1
2331,0
2332,0
2333,1
2334,1
2335,1
2336,0
2337,1
2338,0
2339,1
2340,0
2341,1
2342,0
2343,0
2344,1
2345,0
2346,1
2347,0
2348,1
2349,1
2350,0
2351,1
2352,0
2353,1
2354,0
2355,1
2356,0
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2363,0
2364,0
2365,1
2366,1
2367,0
2368,0
2369,1
2370,1
2371,1
2372,0
2373,1
2374,0
2375,1
2376,0
2377,0
2378,0
2379,0
2380,1
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,1
2388,0
2389,1
2390,0
2391,0
2392,1
2393,1
2394,0
2395,1
2396,0
2397,1
2398,0
2399,1
2400,1
2401,0
2402,0
2403,0
2404,1
2405,0
2406,1
2407,0
2408,1
2409,1
2410,0
2411,1
2412,1
2413,0
2414,0
2415,0
2416,1
2417,0
2418,1
2419,1
2420,0
2421,1
2422,1
2423,0
2424,0
2425,0
2426,0
2427,1
2428,1
2429,0
2430,0
2431,0
2432,1
2433,0
2434,0
2435,1
2436,1
2437,0
2438,0
2439,1
2440,1
2441,1
2442,1
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,1
2450,1
2451,1
2452,0
2453,1
2454,0
2455,0
2456,1
2457,0
2458,1
2459,0
2460,1
2461,1
2462,0
2463,0
2464,0
2465,1
2466,0
2467,1
2468,0
2469,1
2470,0
2471,0
2472,1
2473,0
2474,0
2475,0
2476,1
2477,0
2478,1
2479,1
2480,1
2481,0
2482,1
2483,0
