Id,Bound
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,0
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,0
292,1
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,1
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,0
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,1
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,0
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,1
538,0
539,0
540,0
541,1
542,0
543,0
544,0
545,1
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,0
554,1
555,0
556,0
557,0
558,1
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,1
571,1
572,1
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,1
588,1
589,1
590,0
591,1
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,0
615,0
616,0
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,0
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,1
644,1
645,0
646,0
647,0
648,1
649,1
650,1
651,1
652,0
653,1
654,0
655,1
656,0
657,0
658,1
659,1
660,1
661,0
662,1
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,0
681,0
682,1
683,1
684,1
685,1
686,0
687,1
688,1
689,0
690,1
691,0
692,0
693,1
694,0
695,0
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,0
706,0
707,0
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,1
716,1
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,0
749,1
750,1
751,1
752,1
753,1
754,0
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,0
766,1
767,1
768,0
769,0
770,1
771,1
772,0
773,0
774,1
775,1
776,0
777,0
778,1
779,0
780,0
781,1
782,1
783,1
784,0
785,1
786,1
787,0
788,0
789,1
790,0
791,0
792,1
793,0
794,1
795,1
796,0
797,0
798,0
799,1
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,1
811,0
